anime_id,title_romaji,title_english,title_native,season,season_year,type,format,status,episodes,duration,average_score,popularity,favorites,genres,country,source_material,studio,start_year,start_month,start_day
623,Shichinin no Nana,Nana: Seven of Seven,七人のナナ,WINTER,2002.0,ANIME,TV,FINISHED,25.0,24,64,3077,23,"Adventure, Comedy, Romance",JP,MANGA,A.C.G.T.,2002,1.0,10.0
624,MØUSE,MØUSE,マウス,WINTER,2003.0,ANIME,TV_SHORT,FINISHED,12.0,14,53,5285,49,"Adventure, Comedy, Ecchi",JP,MANGA,Studio DEEN,2003,1.0,5.0
625,Moekan THE ANIMATION,Moekko Company,モエかん THE ANIMATION,FALL,2003.0,ANIME,OVA,FINISHED,3.0,30,43,1155,4,"Comedy, Romance",JP,VISUAL_NOVEL,No Side,2003,12.0,19.0
626,Mamotte Shugogetten!,,まもって守護月天！,FALL,1998.0,ANIME,TV,FINISHED,22.0,24,63,2882,20,"Comedy, Mahou Shoujo, Romance",JP,MANGA,Toei Animation,1998,10.0,17.0
627,Major S1,,メジャー (第1シリーズ),FALL,2004.0,ANIME,TV,FINISHED,26.0,25,80,22757,521,"Comedy, Drama, Sports",JP,MANGA,Studio Hibari,2004,11.0,13.0
629,Mahou Tsukai Tai!,Magic User's Club!,魔法使いTai!,SPRING,1996.0,ANIME,OVA,FINISHED,6.0,28,67,5218,58,"Comedy, Fantasy, Mahou Shoujo, Romance, Sci-Fi",JP,ORIGINAL,Triangle Staff,1996,5.0,25.0
630,Mahou Tsukai Tai! (TV),Magic User's Club! (TV),魔法使いTai! (TV),SUMMER,1999.0,ANIME,TV,FINISHED,13.0,24,63,4328,34,"Comedy, Mahou Shoujo, Romance, Sci-Fi",JP,MANGA,MADHOUSE,1999,7.0,7.0
631,Mahoromatic: Natsu no TV Special,Mahoromatic Summer Special,まほろまてぃっく 夏のTVスペシャル,SUMMER,2003.0,ANIME,SPECIAL,FINISHED,1.0,23,66,2727,9,"Comedy, Romance, Sci-Fi",JP,MANGA,Gainax,2003,8.0,15.0
633,Legend of Basara,,レジェンド オブ バサラ,SPRING,1998.0,ANIME,TV,FINISHED,13.0,24,67,3634,34,"Adventure, Drama, Romance, Sci-Fi",JP,MANGA,KSS,1998,4.0,3.0
634,Koi Kaze,,恋風,SPRING,2004.0,ANIME,TV,FINISHED,13.0,24,66,20430,194,"Drama, Psychological, Romance, Slice of Life",JP,MANGA,A.C.G.T.,2004,4.0,2.0
635,Juubei-chan: Lovely Gantai no Himitsu,Jubei-chan the Ninja Girl: Secret of the Lovely Eyepatch,十兵衛ちゃん -ラブリー眼帯の秘密-,SPRING,1999.0,ANIME,TV,FINISHED,13.0,25,63,4496,52,"Action, Adventure, Comedy, Drama",JP,ORIGINAL,MADHOUSE,1999,4.0,6.0
636,Juubei-chan 2: Siberia Yagyuu no Gyakushuu,Jubei Chan the Ninja Girl 2: The Counterattack of Siberia Yagyu,十兵衛ちゃん2 -シベリア柳生の逆襲-,WINTER,2004.0,ANIME,TV,FINISHED,13.0,25,65,2411,25,"Adventure, Comedy, Drama",JP,ORIGINAL,MADHOUSE,2004,1.0,7.0
637,Iketeru Futari,,イケてる２人,WINTER,1999.0,ANIME,TV_SHORT,FINISHED,16.0,5,59,4526,45,"Comedy, Ecchi, Romance",JP,MANGA,J.C.STAFF,1999,2.0,2.0
641,Ichigo 100% Special 2,Strawberry 100%,いちご100%,WINTER,2005.0,ANIME,SPECIAL,FINISHED,1.0,23,63,3354,15,"Comedy, Ecchi, Romance",JP,MANGA,,2005,12.0,18.0
642,Ichigo 100% Special: Jump Festa 2004,Strawberry 100% Special,いちご100%,FALL,2004.0,ANIME,SPECIAL,FINISHED,1.0,25,62,3679,13,"Comedy, Ecchi, Romance",JP,MANGA,,2004,9.0,23.0
644,Hachimitsu to Clover Specials,Honey and Clover Specials,ハチミツとクローバー,WINTER,2005.0,ANIME,SPECIAL,FINISHED,2.0,22,72,6119,25,"Comedy, Drama, Romance, Slice of Life",JP,MANGA,,2005,12.0,23.0
645,Hikaru no Go: Hokuto Hai e no Michi,,ヒカルの碁 北斗杯への道,WINTER,2004.0,ANIME,SPECIAL,FINISHED,1.0,77,75,4651,26,"Sports, Supernatural",JP,MANGA,Studio Pierrot,2004,1.0,3.0
646,HAUNTED Junction,,HAUNTED じゃんくしょん,SPRING,1997.0,ANIME,TV,FINISHED,12.0,24,61,1341,8,"Comedy, Supernatural",JP,MANGA,Studio DEEN,1997,4.0,2.0
647,Harukanaru Toki no Naka de: Ajisai Yumegatari,In a Distant Time OVA,遙かなる時空の中で 〜紫陽花ゆめ語り〜,SPRING,2002.0,ANIME,OVA,FINISHED,2.0,30,48,972,5,"Adventure, Drama, Fantasy, Romance",JP,VISUAL_NOVEL,ZEXCS,2002,3.0,27.0
648,Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary,,月は東に日は西に〜Operation Sanctuary〜,SUMMER,2004.0,ANIME,TV_SHORT,FINISHED,13.0,12,56,1957,4,"Comedy, Drama, Romance, Sci-Fi",JP,VISUAL_NOVEL,Radix,2004,6.0,30.0
649,Hanaukyou Maid-tai: La Verite,HANAUKYO Maid Team: La Verite,花右京メイド隊 La Verite,SPRING,2004.0,ANIME,TV,FINISHED,12.0,23,63,4464,32,"Comedy, Ecchi, Romance",JP,MANGA,Daume,2004,4.0,4.0
650,Gunsmith Cats,Gunsmith Cats,ガンスミスキャッツ,FALL,1995.0,ANIME,OVA,FINISHED,3.0,29,73,27877,729,"Action, Comedy, Thriller",JP,MANGA,OLM,1995,11.0,1.0
651,Green Green THIRTEEN: Erolutions,,グリーングリーン THIRTEEN エロリューションズ,SPRING,2004.0,ANIME,OVA,FINISHED,1.0,30,54,3407,14,"Comedy, Hentai, Romance",JP,VISUAL_NOVEL,Studio Matrix,2004,5.0,28.0
652,Galaxy Angel Z,Galaxy Angel Z,ギャラクシーエンジェルＺ,WINTER,2002.0,ANIME,TV,FINISHED,9.0,24,69,2807,18,"Comedy, Sci-Fi",JP,ORIGINAL,MADHOUSE,2002,2.0,3.0
653,Galaxy Angel A,Galaxy Angel A,ギャラクシーエンジェルA,FALL,2002.0,ANIME,TV,FINISHED,26.0,24,70,2642,26,"Comedy, Sci-Fi",JP,ORIGINAL,MADHOUSE,2002,10.0,6.0
654,Galaxy Angel Ａ Specials,Galaxy Angel Ａ Specials,ギャラクシーエンジェルＡ,FALL,2003.0,ANIME,SPECIAL,FINISHED,2.0,13,64,1026,4,"Comedy, Sci-Fi",JP,,,2003,11.0,28.0
655,Galaxy Angel X,Galaxy Angel X,ギャラクシーエンジェル X,SUMMER,2004.0,ANIME,TV,FINISHED,13.0,24,68,2222,22,"Comedy, Sci-Fi",JP,VIDEO_GAME,MADHOUSE,2004,7.0,7.0
656,AIR in Summer,Air in Summer,AIR イン サマー,SUMMER,2005.0,ANIME,SPECIAL,FINISHED,2.0,24,68,8610,44,"Comedy, Drama, Romance, Supernatural",JP,VISUAL_NOVEL,Kyoto Animation,2005,8.0,28.0
658,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,Akagi,闘牌伝説アカギ 闇に舞い降りた天才,FALL,2005.0,ANIME,TV,FINISHED,26.0,23,77,30147,757,"Psychological, Sports, Thriller",JP,MANGA,MADHOUSE,2005,10.0,4.0
659,Azumanga Daiou: Gekijou Tanpen,Azumanga Daioh: The Very Short Movie,あずまんが大王（劇場短編）,FALL,2001.0,ANIME,SPECIAL,FINISHED,1.0,6,68,11605,79,"Comedy, Slice of Life",JP,MANGA,J.C.STAFF,2001,12.0,25.0
660,Denshin Mamotte Shugogetten!,,伝心 まもって守護月天！,SUMMER,2000.0,ANIME,OVA,FINISHED,8.0,30,64,1129,8,"Comedy, Romance",JP,MANGA,Toei Animation,2000,6.0,23.0
661,Elf Ban Kakyuusei: Anata Dake o Mitsumete...,Kakyuusei: Elf Version,エルフ版下級生 あなただけを見つめて...,WINTER,1998.0,ANIME,OVA,FINISHED,4.0,30,58,1341,14,"Drama, Ecchi, Romance",JP,VISUAL_NOVEL,,1998,1.0,24.0
664,Hagane no Renkinjutsushi: Reflections,Fullmetal Alchemist: Reflections,鋼の錬金術師 Reflections,SPRING,2005.0,ANIME,SPECIAL,FINISHED,1.0,56,68,9607,77,"Adventure, Comedy, Drama, Fantasy",JP,MANGA,bones,2005,3.0,19.0
665,JoJo no Kimyou na Bouken (2000),JoJo's Bizarre Adventure (2000),ジョジョの奇妙な冒険 (2000),SPRING,2000.0,ANIME,OVA,FINISHED,7.0,30,69,26048,413,"Action, Adventure, Drama, Horror, Supernatural",JP,MANGA,APPP,2000,5.0,25.0
